id,title,decision,is_english,is_matching,audit_reason
https://openalex.org/W2768055745,Comparative Analysis of KNN Algorithm using Various Normalization Techniques,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.5138 >= 0.50)
https://openalex.org/W3112382839,Text categorization Performance examination Using Machine Learning Algorithms,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.5803 >= 0.50)
https://openalex.org/W2808507719,Face Recognition Using Fisherface Method,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7893 >= 0.50)
https://openalex.org/W2771689976,UJI VALIDITAS PENGEMBANGAN TES UNTUK MENGUKUR KEMAMPUAN PEMAHAMAN RELASIONAL PADA MATERI PERSAMAAN KUADRAT SISWA KELAS VIII SMP,REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W2935239754,Classification of Melanoma Skin Cancer using Convolutional Neural Network,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7737 >= 0.50)
https://openalex.org/W2794231549,Design of Smart System to Detect Ripeness of Tomato and Chili with New Approach in Data Acquisition,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.6934 >= 0.50)
https://openalex.org/W3092135815,Determination and Measurement of Color Dissimilarity,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7289 >= 0.50)
https://openalex.org/W3164527999,Application of Deep Learning Using Convolutional Neural Network (CNN) Method For Women’s Skin Classification,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.8075 >= 0.50)
https://openalex.org/W3089888409,KLASIFIKASI CITRA DIGITAL BUMBU DAN REMPAH DENGAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK (CNN),APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.5587 >= 0.50)
https://openalex.org/W3092420787,Implementasi Metode Convolutional Neural Network Menggunakan Arsitektur LeNet-5 untuk Pengenalan Doodle,REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W2760182425,ANALISIS STRUKTUR NANO DARI LAPISAN TIPIS COBALT FERRITE YANG DIPREPARASI DENGAN METODE SPUTTERING,REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W3113090010,Home Security System with Face Recognition based on Convolutional Neural Network,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.6838 >= 0.50)
https://openalex.org/W3113983933,Pengujian Algoritma Long Short Term Memory untuk Prediksi Kualitas Udara dan Suhu Kota Bandung,REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W3027096060,KLASIFIKASI BATIK RIAU DENGAN MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORKS (CNN),REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W2893344297,Klasifikasi Daun Dengan Perbaikan Fitur Citra Menggunakan Metode K-Nearest Neighbor,REJECTED,False,True,Language check failed (FastText detected non-English content.)
https://openalex.org/W3043078951,Analysis of Face Recognition Algorithm: Dlib and OpenCV,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7331 >= 0.50)
https://openalex.org/W2771419870,Analysis Resilient Algorithm on Artificial Neural Network Backpropagation,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7037 >= 0.50)
https://openalex.org/W2171762804,APPLICATION OF ICA TECHNIQUE TO PCA BASED RADAR TARGET RECOGNITION,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.8443 >= 0.50)
https://openalex.org/W3133343791,Classifying Promotion Images Using Optical Character Recognition and Naïve Bayes Classifier,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7279 >= 0.50)
https://openalex.org/W3014655954,Batik pattern recognition using convolutional neural network,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.6279 >= 0.50)
https://openalex.org/W2994440819,Face Identification Based on K-Nearest Neighbor,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7443 >= 0.50)
https://openalex.org/W2755964124,Modified Convolutional Neural Network Architecture for Batik Motif Image Classification,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.7544 >= 0.50)
https://openalex.org/W2619507781,"ANALISA PERBANDINGAN METODE FILTER GAUSSIAN, MEAN DAN MEDIAN TERHADAP REDUKSI NOISE",APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.5298 >= 0.50)
https://openalex.org/W2751592515,METODE KLASIFIKASI MUTU JAMBU BIJI MENGGUNAKAN KNN BERDASARKAN FITUR WARNA DAN TEKSTUR,REJECTED,True,False,Matching check failed (Semantic Mismatch: Similarity is 0.3142 (threshold: 0.50))
https://openalex.org/W3158024947,Machine Learning Classifiers Based Classification For IRIS Recognition,APPROVED,True,True,FastText passed English detection. | Passed vector verification (similarity: 0.6535 >= 0.50)
