id,title,decision,is_english,is_matching,audit_reason
https://openalex.org/W2768055745,Comparative Analysis of KNN Algorithm using Various Normalization Techniques,APPROVED,True,True,"The text is written in English, and the abstract directly elaborates on the KNN algorithm and normalization techniques mentioned in the title, confirming semantic relevance."
https://openalex.org/W3112382839,Text categorization Performance examination Using Machine Learning Algorithms,APPROVED,True,True,"The text is written in English, and the abstract semantically aligns with the title by discussing text categorization performance using machine learning algorithms."
https://openalex.org/W2808507719,Face Recognition Using Fisherface Method,APPROVED,True,True,"The text is written in English, and the abstract semantically aligns with the title by detailing the implementation and results of a face recognition system using the Fisherface method."
https://openalex.org/W2771689976,UJI VALIDITAS PENGEMBANGAN TES UNTUK MENGUKUR KEMAMPUAN PEMAHAMAN RELASIONAL PADA MATERI PERSAMAAN KUADRAT SISWA KELAS VIII SMP,REJECTED,False,True,"The title is in Indonesian, failing the language check, but the abstract accurately reflects the title's content regarding test validity for relational understanding in quadratic equations."
https://openalex.org/W2935239754,Classification of Melanoma Skin Cancer using Convolutional Neural Network,APPROVED,True,True,"The text is written in English, and the abstract directly elaborates on the title's subject by describing a Convolutional Neural Network application for classifying melanoma skin cancer."
https://openalex.org/W2794231549,Design of Smart System to Detect Ripeness of Tomato and Chili with New Approach in Data Acquisition,APPROVED,True,True,"The text is written in English, and the abstract directly elaborates on the smart system for detecting tomato and chili ripeness mentioned in the title."
https://openalex.org/W3092135815,Determination and Measurement of Color Dissimilarity,APPROVED,True,True,"The text is written in English, and the abstract directly elaborates on the study's aim to determine and measure color dissimilarity as stated in the title."
https://openalex.org/W3164527999,Application of Deep Learning Using Convolutional Neural Network (CNN) Method For Women’s Skin Classification,APPROVED,True,True,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding CNN-based skin classification for women."
https://openalex.org/W3089888409,KLASIFIKASI CITRA DIGITAL BUMBU DAN REMPAH DENGAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK (CNN),REJECTED,True,False,"The title is in Indonesian, while the abstract is in English, failing the language consistency check."
https://openalex.org/W3092420787,Implementasi Metode Convolutional Neural Network Menggunakan Arsitektur LeNet-5 untuk Pengenalan Doodle,REJECTED,False,True,"The title is in Indonesian, failing the language check, but the abstract semantically matches the title by discussing the implementation of LeNet-5 CNN for doodle recognition."
https://openalex.org/W2760182425,ANALISIS STRUKTUR NANO DARI LAPISAN TIPIS COBALT FERRITE YANG DIPREPARASI DENGAN METODE SPUTTERING,REJECTED,False,True,"The title is in Indonesian, failing the language check, but the abstract accurately describes the synthesis and analysis of Cobalt Ferrite thin films mentioned in the title, satisfying the semantic matching check."
https://openalex.org/W3113090010,Home Security System with Face Recognition based on Convolutional Neural Network,APPROVED,True,True,"The text is written in English, and the abstract accurately describes the home security system with face recognition using CNN Alexnet as stated in the title."
https://openalex.org/W3113983933,Pengujian Algoritma Long Short Term Memory untuk Prediksi Kualitas Udara dan Suhu Kota Bandung,REJECTED,False,True,"The text contains significant portions in Indonesian, failing the English language check. However, the title and abstract are semantically consistent, describing the same LSTM study on Bandung's air quality and temperature."
https://openalex.org/W3027096060,KLASIFIKASI BATIK RIAU DENGAN MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORKS (CNN),REJECTED,False,True,"The text contains significant portions in Indonesian (e.g., 'Kata kunci', 'ABSTRAK', 'dikenal sejak'), so it is not primarily English. However, the title and abstract are semantically consistent, describing the classification of Riau Batik using CNNs."
